"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY"
2015,1,1,4,"EV",4160,"N11150","JAX","EWR",540,531,-9,9,540,137,132,109,820,729,14,757,743,-14,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"AA",1635,"N025AA","ATL","DFW",625,NA,NA,NA,NA,150,NA,NA,731,NA,NA,755,NA,NA,0,1,"B",NA,NA,NA,NA,NA
2015,1,1,4,"WN",119,"N271LV","RSW","ATL",800,754,-6,11,805,105,100,84,515,929,5,945,934,-11,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"EV",4936,"N738EV","MSP","IAD",900,901,1,56,957,148,159,100,908,1237,3,1228,1240,12,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"DL",2319,"N960DL","LGA","MSP",1010,1010,0,22,1032,200,195,171,1020,1223,2,1230,1225,-5,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"DL",1806,"N594NW","LAX","DTW",1115,1113,-2,15,1128,266,248,226,1979,1814,7,1841,1821,-20,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"AA",1509,"N3BGAA","BWI","MIA",1309,1300,-9,12,1312,161,150,133,946,1525,5,1550,1530,-20,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"OO",5354,"N472CA","ORD","MBS",1317,1349,32,27,1416,66,70,39,222,1555,4,1523,1559,36,0,0,"",4,0,11,21,0
2015,1,1,4,"EV",5331,"N861AS","ATL","CAE",1457,1452,-5,16,1508,59,51,33,192,1541,2,1556,1543,-13,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"UA",1062,"N73291","DCA","DEN",1603,1603,0,12,1615,249,272,248,1476,1823,12,1812,1835,23,0,0,"",23,0,0,0,0
2015,1,1,4,"EV",4230,"N11106","DIK","DEN",1631,NA,NA,NA,NA,104,NA,NA,488,NA,NA,1815,NA,NA,0,1,"C",NA,NA,NA,NA,NA
2015,1,1,4,"DL",1336,"N972DL","MCO","CVG",1645,1645,0,11,1656,130,125,108,757,1844,6,1855,1850,-5,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"US",705,"N567UW","CLT","LAS",1800,1813,13,15,1828,295,289,266,1916,1954,8,1955,2002,7,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"AA",2237,"N3CJAA","DCA","DFW",1859,1854,-5,9,1903,210,205,186,1192,2109,10,2129,2119,-10,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"UA",1468,"N68807","IAH","SEA",1912,1924,12,9,1933,289,259,245,1874,2138,5,2201,2143,-18,0,0,"",NA,NA,NA,NA,NA
2015,1,1,4,"WN",688,"N242WN","MKE","STL",1945,1951,6,9,2000,75,69,55,317,2055,5,2100,2100,0,0,0,"",NA,NA,NA,NA,NA
2015,1,2,5,"OO",4732,"N821SK","BNA","DTW",630,645,15,12,657,102,92,72,456,909,8,912,917,5,0,0,"",NA,NA,NA,NA,NA
2015,1,2,5,"WN",4476,"N769SW","PHL","MDW",635,630,-5,10,640,145,142,126,668,746,6,800,752,-8,0,0,"",NA,NA,NA,NA,NA
2015,1,2,5,"MQ",2795,"N614MQ","HOU","DFW",855,851,-4,10,901,70,75,46,247,947,19,1005,1006,1,0,0,"",NA,NA,NA,NA,NA
2015,1,2,5,"US",2065,"N534UW","CLT","IAH",1120,1128,8,11,1139,163,176,154,912,1313,11,1303,1324,21,0,0,"",13,0,8,0,0
2015,1,2,5,"HA",529,"N486HA","OGG","HNL",1228,1221,-7,8,1229,36,41,24,100,1253,9,1304,1302,-2,0,0,"",NA,NA,NA,NA,NA
2015,1,2,5,"OO",5211,"N943SW","IDA","DEN",1338,1428,50,31,1459,91,122,64,458,1603,27,1509,1630,81,0,0,"",31,0,0,50,0
2015,1,2,5,"HA",335,"N477HA","OGG","HNL",1503,1644,101,10,1654,37,50,23,100,1717,17,1540,1734,114,0,0,"",0,0,25,89,0
2015,1,2,5,"US",1885,"N764US","STL","CLT",1615,1638,23,9,1647,106,97,79,575,1906,9,1901,1915,14,0,0,"",NA,NA,NA,NA,NA
2015,1,2,5,"EV",5207,"N933EV","GSO","ATL",1825,1825,0,19,1844,87,95,66,306,1950,10,1952,2000,8,0,0,"",NA,NA,NA,NA,NA
2015,1,2,5,"US",548,"N829AW","PHX","MKE",1940,1941,1,13,1954,194,191,172,1460,2346,6,2354,2352,-2,0,0,"",NA,NA,NA,NA,NA
2015,1,2,5,"AA",1147,"N3BXAA","MIA","LAX",2100,2137,37,34,2211,357,353,314,2342,25,5,2357,30,33,0,0,"",0,0,12,21,0
2015,1,2,5,"US",558,"N950UW","PHL","BOS",2245,2241,-4,8,2249,73,61,50,280,2339,3,2358,2342,-16,0,0,"",NA,NA,NA,NA,NA
2015,1,3,6,"AA",1233,"N3LBAA","BOS","DFW",555,550,-5,18,608,275,292,260,1562,928,14,930,942,12,0,0,"",NA,NA,NA,NA,NA
2015,1,3,6,"AA",2363,"N488AA","OKC","DFW",600,557,-3,15,612,65,62,43,175,655,4,705,659,-6,0,0,"",NA,NA,NA,NA,NA
2015,1,3,6,"AA",1132,"N4XJAA","DFW","PHX",950,1002,12,17,1019,160,145,122,868,1121,6,1130,1127,-3,0,0,"",NA,NA,NA,NA,NA
2015,1,3,6,"OO",7387,"N299SW","SLC","EKO",1655,1652,-3,14,1706,64,61,43,200,1649,4,1659,1653,-6,0,0,"",NA,NA,NA,NA,NA
2015,1,3,6,"UA",351,"N477UA","RDU","SFO",1801,1813,12,15,1828,361,331,313,2400,2041,3,2102,2044,-18,0,0,"",NA,NA,NA,NA,NA
2015,1,4,7,"B6",668,"N571JB","PSE","MCO",255,245,-10,35,320,185,202,161,1179,501,6,500,507,7,0,0,"",NA,NA,NA,NA,NA
2015,1,4,7,"OO",5572,"N946SW","MOT","DEN",610,617,7,27,644,133,119,83,604,707,9,723,716,-7,0,0,"",NA,NA,NA,NA,NA
2015,1,4,7,"OO",2585,"N866AS","EUG","LAX",705,657,-8,10,707,140,122,100,748,847,12,925,859,-26,0,0,"",NA,NA,NA,NA,NA
2015,1,4,7,"AS",25,"N524AS","BOS","SEA",735,739,4,28,807,400,396,362,2496,1109,6,1115,1115,0,0,0,"",NA,NA,NA,NA,NA
2015,1,4,7,"WN",1298,"N289CT","OAK","ABQ",800,758,-2,8,806,130,126,114,889,1100,4,1110,1104,-6,0,0,"",NA,NA,NA,NA,NA
2015,1,4,7,"OO",6487,"N580SW","SBA","SFO",800,829,29,5,834,90,73,65,262,939,3,930,942,12,0,0,"",NA,NA,NA,NA,NA
2015,1,4,7,"MQ",2834,"N650MQ","DFW","JAN",950,959,9,20,1019,78,87,57,408,1116,10,1108,1126,18,0,0,"",9,0,9,0,0
2015,1,4,7,"US",2019,"N110UW","DCA","FLL",1050,1050,0,40,1130,160,177,135,899,1345,2,1330,1347,17,0,0,"",17,0,0,0,0
2015,1,4,7,"EV",3273,"N13161","JAX","ORD",1102,1349,167,12,1401,158,187,126,864,1507,49,1240,1556,196,0,0,"",29,0,24,143,0
2015,1,4,7,"WN",1898,"N962WN","BDL","ATL",1225,1259,34,13,1312,165,174,155,859,1547,6,1510,1553,43,0,0,"",9,0,18,16,0
2015,1,4,7,"WN",4839,"N404WN","PHX","LAS",1320,1338,18,10,1348,65,58,45,255,1333,3,1325,1336,11,0,0,"",NA,NA,NA,NA,NA
